Facility name,Username,Channel id,Channel name,Content id,Content title,Time of first interaction,Time of last interaction,Time of completion,Time Spent (sec),Progress (0-1),Content kind
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,dd86182a6d3542e3ab2063894050f40f,Tutorial planejamento de classe - Kolibri,2022-04-05 22:15:51.012543+00:00,2022-04-05 22:16:43.811647+00:00,,27.3,0.2810,video
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,dd86182a6d3542e3ab2063894050f40f,Tutorial planejamento de classe - Kolibri,2022-04-05 22:16:47.265735+00:00,2022-04-05 22:17:00.764578+00:00,,0.8,0.0000,video
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,4102ad4204805c1a8cec0fe03d841803,Probabilidade simples: bola de gude não azul,2022-04-05 22:18:20.501511+00:00,2022-04-05 22:28:29.567348+00:00,,601.0,1.0000,video
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:28:31.475481+00:00,2022-04-05 22:28:31.475481+00:00,,0.0,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:30:03.510760+00:00,2022-04-05 22:31:09.483568+00:00,,60.0,0.0010,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:31:13.829849+00:00,2022-04-05 22:32:24.145616+00:00,,67.3,0.1990,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:32:25.192098+00:00,2022-04-05 22:34:36.385687+00:00,,130.0,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:34:37.614812+00:00,2022-04-05 22:41:39.744484+00:00,,420.0,0.6010,exercise
Associação PiPA,JuliaVSSM22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-05 22:38:59.426438+00:00,2022-04-05 22:52:24.247817+00:00,,800.0,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:41:40.949250+00:00,2022-04-05 22:42:22.481431+00:00,,40.0,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:42:23.282417+00:00,2022-04-05 22:44:42.199166+00:00,,88.9,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,98fe91c1fd285dd2a4acc8769a1cbd4e,Probabilidade simples,2022-04-05 22:44:43.269583+00:00,2022-04-05 22:46:00.251565+00:00,,24.8,0.0000,exercise
